US_term,US_term_alias,US_abb,US_abb1,UK_term,UK_term_alias,UK_abb,UK_abb1,Chinese_term,Chinese_term_alias,Chinese_abb,Japanese,Japanese_alias,stitch_id,category,equivalence_group,symbol_file,search_status,ambiguity_note
crochet 3 single stitches in single stitch,,3 sc in same stitch,3 sc in one stitch|3 single crochet in one stitch,crochet 3 double stitches in single stitch,,3 dc in same stitch,3 dc in one stitch|3 double crochet in one stitch,在一針內鈎三短針,,W,,,st_014_crochet_3_single_stitches_in_single_stitch,increase,,3sc_in_single_stitch.svg,active,
decrease,,dec,decr,decrease,,dec,decr,減針,,A,減らし目,,st_015_decrease,decrease,,decrease.svg,active,
single crochet decrease,,sc dec,sc decr,double crochet decrease,,dc dec,dc decr,短針減針,,A,細編み2目一度,,st_016_single_crochet_decrease,decrease,,decrease.svg,active,
half double crochet decrease,,hdc dec,hdc decr,half treble crochet decrease,,htr dec,htr decr,中長針減針,,TA,中長編み2目一度,,st_017_half_double_crochet_decrease,decrease,,hdc_dec.svg,active,
double crochet decrease,,dc dec,dc decr,treble crochet decrease,,tr dec,tr decr,長針減針,,FA,長編み2目一度,,st_018_double_crochet_decrease,decrease,,dc_dec.svg,active,
treble crochet decrease,triple crochet decrease,tr dec,tr decr,double treble crochet decrease,,dtr dec,dtr decr,長長針減針,,EA,長々編み2目一度,,st_019_treble_crochet_decrease,decrease,,tr_dec.svg,active,
double crochet 2 stitches together,,dc2tog,,treble crochet 2 stitches together,,tr2tog,,長針二針併一針,,FA,長編み2目一度,,st_020_double_crochet_2_stitches_together,decrease,,,active,
half double crochet 2 stitches together,,hdc2tog,,half treble crochet 2 stitches together,,htr2tog,,中長針併一針,,,中長編み2目一度,,st_021_half_double_crochet_2_stitches_together,decrease,,,active,
treble crochet 2 stitches together,,tr2tog,,double treble crochet 2 stitches together,,dtr2tog,,長長針二針併一針,,,長々編み2目一度,,st_022_treble_crochet_2_stitches_together,decrease,,,active,
crochet 3 stitches together,,3tog,,crochet 3 stitches together,,3tog,,三針併一針,,M,3目一度,,st_023_crochet_3_stitches_togeter,decrease,,,inactive,
single crochet 3 stitches together,,sc3tog,,double crochet 3 stitches together,,dc3tog,,短針三針併一針,,M,細編み3目一度,,st_024_single_crochet_3_stitches_togeter,decrease,,sc3tog.svg,active,
,,,,,,,,中長針三針併一針,,TM,中長編み3目一度,,st_025_unnamed_3,decrease,,,active,
,,dc3tog,,,,,,長針三針併一針,,FM,長編み3目一度,,st_026_unnamed_4,decrease,,,active,
,,,,,,,,長長針三針併一針,,EM,,,st_027_unnamed_5,decrease,,,active,
magic ring,magic ring|magic circle|adjustable ring,mr,,,,mr,,環狀起針,魔術環|环起|環起|环形起针|環形起針|圈起|起圈|環,,,,st_028_magic_ring,basic_stitch,,magic_ring.svg,active,
back loop,in bl|back loop|back loops|work in back loop|work in back loops,bl,,back loop,in bl|back loop|back loops|work in back loop|work in back loops,bl,,後半針,內半針,,,,st_029_back_loop,loop_placement,eq_back_loop,back_loop.svg,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
back loop only,in blo|back loop only|back loops only|work in back loop only|work in back loops only,blo,,back loop only,in blo|back loop only|back loops only|work in back loop only|work in back loops only,blo,,後半針,內半針,,,,st_030_back_loop_only,loop_placement,eq_back_loop,back_loop.svg,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
front loop,in fl|front loop|front loops|work in front loop|work in front loops,fl,,front loop,in fl|front loop|front loops|work in front loop|work in front loops,fl,,前半針,外半針,,,,st_031_front_loop,loop_placement,eq_front_loop,front_loop.svg,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
front loop only,in flo|front loop only|front loops only|work in front loop only|work in front loops only,flo,,front loop only,in flo|front loop only|front loops only|work in front loop only|work in front loops only,flo,,前半針,外半針,,,,st_032_front_loop_only,loop_placement,eq_front_loop,front_loop.svg,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
single crochet 2 stitches together,,sc2tog,,double crochet 2 stitches together,,dc2tog,,兩短針併一針,,,細編み2目一度,,st_033_single_crochet_2_stitches_together,decrease,,,active,
yarn over,,yo,,yarn over,,yo,,繞線,,,,,st_034_yarn_over,pattern_instruction,eq_yarn_over,,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
yarn over hook,,yoh,,yarn over hook,,yoh,,繞線,,,,,st_035_yarn_over_hook,pattern_instruction,eq_yarn_over,,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
round,,rnd,r,round,,rnd,r,圈,,R,,,st_036_round,pattern_instruction,,,active,
rounds,,rnds,,rounds,,rnds,,圈,,R,,,st_093_rounds,pattern_instruction,,,active,
row,,r,,row,,r,,行,,R,,,st_094_row,pattern_instruction,,,active,
rows ,,rows,,rows,,rows,,行,,R,,,st_095_rows,pattern_instruction,,,active,
skip,,sk,,skip,,sk,,跳過,,K,,,st_037_skip,pattern_instruction,,,active,
turn,,,,turn,,,,反轉,,,,,st_038_turn,pattern_instruction,,,active,
back bumps,,,,back bumps,,,,里山,,,,,st_039_back_bumps,pattern_instruction,,,active,
puff stitch,,puff,ps,puff stitch,,puff,,棗形針,,Q,,,st_040_puff_stitch,textured_stitch,eq_zh_bobble_puff,puff.svg,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
popcorn stitch,,pc,,popcorn stitch,,pc,,爆米花針,,,,,st_041_popcorn_stitch,textured_stitch,,popcorn.svg,active,
leave a long tail,leave long end to weave in|leave for sewing|leave for assembly|leave for now,,,leave a long tail,leave long end to weave in|leave for sewing|leave for assembly|leave for now,,,留長線尾,留長線縫合|預留長線尾,,,,st_042_leave_a_long_tail,pattern_instruction,,,active,
,connect into a ring,,,,connect into a ring,,,,首尾相連,,,,st_043_row_043,uncategorized,,,active,
,flatten and crochet two sides together,,,,flatten and crochet two sides together,,,,對折,,,,st_044_row_044,pattern_instruction,,,active,
repeat,,rep,,repeat,,rep,,重覆,,,,,st_045_repeat,pattern_instruction,,,active,
,repeat previous instructions backward,,,,repeat previous instructions backward,,,,重覆對稱,,,,st_046_repeat_previous_rows,pattern_instruction,,,active,
turning chain,turning stitch,tch,t-ch,turning chain,turning stitch,tch,t-ch,起立針,立針|立,,立ち上がり,,st_047_turning_chain,basic_stitch,,,active,
alternate,,alt,,alternate,,alt,,隔一針,交替,,交互に,,st_048_alternate,pattern_instruction,,,active,
approximately,,approx,,approximately,,approx,,大約,,,約,,st_049_approximately,pattern_instruction,,,active,
begin,beginning,beg,,begin,beginning,beg,,開始,,,編み始め,,st_050_begin,pattern_instruction,,,active,
between,,bet,,between,,bet,,之間,,,～の間,,st_051_between,pattern_instruction,,,active,
bobble,,bo,,bobble,,bo,,棗形針,,,玉編み,,st_052_bobble,textured_stitch,eq_zh_bobble_puff,,active,Intentional equivalent/search-friendly duplicate; do not treat as error.
back post,,BP,,back post,,BP,,內鈎,後繞,B,裏引き上げ編み,,st_053_back_post,post_stitch,,,active,
back post double crochet,,BPdc,,back post treble crochet,,BPtr,,內鈎長針,,BF,長編みの裏引き上げ編み,,st_054_back_post_double_crochet,post_stitch,,back_post_double_crochet.svg,active,
back post double treble crochet,,BPdtr,,back post triple treble crochet,,BPtrtr,BPttr,內鈎長長長針,,,,,st_055_back_post_double_treble_crochet,post_stitch,,back_post_double_treble_crochet.svg,active,
back post half double crochet,,BPhdc,,back post half treble crochet,,BPhtr,,內鈎中長針,,BT,,,st_056_back_post_half_double_crochet,post_stitch,,back_post_half_double_crochet.svg,active,
back post single crochet,,BPsc,,back post double crochet,,BPdc,,內鈎短針,,BX,,,st_057_back_post_single_crochet,post_stitch,,back_post_single_crochet_cross.svg,active,
back post treble crochet,,BPtr,,back post double treble crochet,,BPdtr,,內鈎長長針,,BE,,,st_058_back_post_treble_crochet,post_stitch,,back_post_treble_crochet.svg,active,
contrasting color,,CC,,contrasting color,,CC,,配色,相反色,,配色,,st_059_contrasting_color,uncategorized,,,active,
chain space,,ch-sp,,chain space,,ch-sp,,鎖針空格,,,鎖のスペース,,st_061_chain_space,basic_stitch,,,active,
cluster,,CL,,cluster,,CL,,簇針,併針,,長編みの完成（または集まり）,,st_062_cluster,textured_stitch,,,active,
continue,,cont,,continue,,cont,,繼續,,,続ける,,st_063_continue,pattern_instruction,,,active,
extended double crochet,,edc,,extended treble crochet,,etr,,延伸長針,,,,,st_064_extended_double_crochet,extended_stitch,,,active,
extended half double crochet,,ehdc,,extended half treble crochet,,ehtr,,延伸中長針,,,,,st_065_extended_half_double_crochet,extended_stitch,,,active,
extended single crochet,,esc,,extended double crochet,,edc,,延伸短針,,,,,st_066_extended_single_crochet,extended_stitch,,,active,
extended treble crochet,,etr,,extended double treble crochet,,edtr,,延伸長長針,,,,,st_067_extended_treble_crochet,extended_stitch,,,active,
following,,foll,,following,,foll,,接下的,隨後的,,,,st_068_following,pattern_instruction,,,active,
front post,,FP,,front post,,FP,,外鈎,前繞,F,表引き上げ編み,,st_069_front_post,post_stitch,,,active,
front post double crochet,,FPdc,,front post treble crochet,,FPtr,,外鈎長針,,FF,長編みの表引き上げ編み,,st_070_front_post_double_crochet,post_stitch,,front_post_double_crochet.svg,active,
front post double treble crochet,,FPdtr,,first post triple treble crochet,,FPtrtr,FPttr,外鈎長長長針,,,,,st_071_front_post_double_treble_crochet,post_stitch,,front_post_double_treble_crochet.svg,active,
front post half double crochet,,FPhdc,,front post half treble crochet,,FPhtr,,外鈎中長針,,FT,,,st_072_front_post_half_double_crochet,post_stitch,,front_post_half_double_crochet.svg,active,
front post single crochet,,FPsc,,front post double crochet,,FPdc,,外鈎短針,,FX,,,st_073_front_post_single_crochet,post_stitch,,front_post_single_crochet_cross.svg,active,
front post treble crochet,,FPtr,,front post double treble crochet,,FPdtr,,外鈎長長針,,FE,,,st_074_front_post_treble_crochet,post_stitch,,front_post_treble_crochet.svg,active,
loop,,lp,,loop,,lp,,環圈,圈,,,,st_075_loop,uncategorized,,,active,
marker,,m,,marker,,m,,記號扣,,,,,st_076_marker,pattern_instruction,,,active,
main color,,MC,,main color,,MC,,主色,,,,,st_077_main_color,pattern_instruction,,,active,
pattern,pat,patt,,pattern,pat,patt,,花樣,,,,,st_078_pattern,pattern_instruction,,,active,
place marker,,pm,,place marker,,pm,,扣上記號扣,,,,,st_079_place_marker,pattern_instruction,,,active,
previous,,prev,,previous,,prev,,之前,,,,,st_080_previous,pattern_instruction,,,active,
remaining,,rem,,remaining,,rem,,餘下的,,,,,st_081_remaining,pattern_instruction,,,active,
right side,,RS,,right side,,RS,,正面,,,,,st_082_right_side,pattern_instruction,,,active,
shell,,sh,,,,,,貝殼針,,,,,st_083_shell,textured_stitch,,,active,
slip marker,,sl m,,slip marker,sm,sl m,,,,,,,st_084_slip_marker,pattern_instruction,,,active,
space,,sp,,space,,sp,,空位,,,,,st_085_space,pattern_instruction,,,active,
stitch,,st,sts|stitch|stitches,stitch,,st,sts|stitch|stitches,針目,,針,,,st_086_stitch,pattern_instruction,,,active,
through back loop,,tbl,,,,,,,,,,,st_087_through_back_loop,loop_placement,,,active,
together,,tog,,together,,tog,,一起,,,,,st_088_together,pattern_instruction,,,active,
wrong side,,ws,,wrong side,,ws,,反面,,,,,st_089_wrong_side,pattern_instruction,,,active,
start in ... chain from hook,start from ... chain from hook|start in the ... chain from hook|work in the ... chain from hook,,,start in ... chain from hook,start from ... chain from hook|start in the ... chain from hook|work in the ... chain from hook,,,倒...針,倒...針|倒...鉤|倒數第...針|倒數第...鉤,,,,st_090_start_in_stitch,pattern_instruction,,,active,
fasten off,FO|F.O.,fo,f.o.,fasten off,FO|F.O.,fo,f.o. ,斷線收尾,,,糸を切って始末する,,st_091_fasten_off,pattern_instruction,,,active,
stuff,,stuff,,stuff,,stuff,,塞入棉花,塞棉花,,,,st_092_stuff,pattern_instruction,,,active,
stuff firmly,firmly stuff,,,stuff firmly,firmly stuff,,,塞滿棉花,緊塞棉花,,,,st_098_stuff_firmly,pattern_instruction,,,active,
stuff lightly,lightly stuff,,,stuff lightly,lightly stuff,,,輕輕塞入棉花,輕塞棉花,,,,st_099_stuff_lightly,pattern_instruction,,,active,
around,all around|all-around|allaround,around,,around,all around|all-around|allaround,around,,一圈,,,,,st_096_around,pattern_instruction,,,active,
total,,total,,total,,total,,共,共計|總數|總共,,,,st_097_total,pattern_instruction,,,active,
change color,,,,change color,,,,轉顏色,換顏色|轉顏色|轉色|換色,,,,st_098_change_ color,pattern_instruction,,,active,
change yarn,,,,change yarn,,,,換毛線,換線|轉線,,,,st_099_change_yarn,pattern_instruction,,,active,
join with sl st,join with slst|join with a slip stitch|join with a sl st|join with a slst,,,join with sl st,join with slst|join with a slip stitch|join with a sl st|join with a slst|join with a ss,,,以引拔針縫合,以引拔針連結|引拔針連結|以引拔針連結|引拔縫合|引拔針縫合,,,,st_100_join_with_sl_st,pattern_instruction,,,active,
work even,evenly work,,,work even,evenly work,,,平均鈎織,,,,,st_101_work_even,pattern_instruction,,,active,
attach,,,,attach,,,,連接,,,,,st_102_attach,pattern_instruction,,,active,
sew,,,,sew,,,,縫合,縫上,,,,st_103_sew,pattern_instruction,,,active,
hook,,,,hook,,,,鈎針,鉤針,,,,st_104_hook,pattern_instruction,,,active,
